Compound	Ratio	pValue	vip
7.98_245.0783m/z	0.01527181	0.368476077	0.00024091
7.00_142.0659m/z	0.000747732	0.059727625	0.000433455
8.35_279.1827n	0.008838054	0	0.000462879
6.86_171.1122m/z	-0.009640664	0.079719062	0.000757721
8.29_93.0341m/z	0.00570197	0.159479264	0.000778595
11.33_183.1024m/z	0.005770131	0.395425139	0.000809797
10.73_329.2561n	-0.001862275	0.470645371	0.0008839
9.63_429.1945m/z	0.001244883	0.086844974	0.00112832
1.44_84.0802m/z	-0.013491485	0.017420799	0.00113497
1.11_309.2029m/z	-0.002914122	0.200656693	0.00114438
10.55_385.0700n	-2.620073614	0	0.00119476
10.17_398.3410m/z	0.005084769	0.097197828	0.00142634
8.74_271.1647m/z	0.009480737	0.172997318	0.00176273
11.70_395.2989m/z	0.007108688	0.001336642	0.00177626
12.60_97.9992m/z	0.018025929	0.051384117	0.00198709
9.17_171.0803m/z	-0.44898962	0.102549961	0.00205404
6.64_463.1042m/z	-0.00345354	0.007205765	0.00206801
11.62_213.1496m/z	-0.008089292	0.108494879	0.00209115
10.42_347.2294m/z	0.02185579	0.115751954	0.00217858
1.20_860.6224m/z	0.00363861	0.213560928	0.0022334
7.95_199.0583m/z	0.010563313	0.07458992	0.00234682
8.99_354.1182n	-0.008088377	0.084247279	0.00242363
10.27_383.1037m/z	-0.013229357	0.090756433	0.00258181
13.87_241.1811m/z	-0.002527305	0.030868429	0.0027375
14.52_243.1972m/z	0.003109805	0.243328906	0.0028543
7.52_105.0328m/z	-0.011201701	0.111379693	0.00286949
5.02_153.0651m/z	0.005505007	0.293449483	0.00293433
11.71_325.2013m/z	0.005437862	0.090555768	0.00336734
12.10_369.1941m/z	0.049794968	0.055711817	0.00337996
8.29_665.2438m/z	-0.005245148	0.104838883	0.00341311
7.00_186.0557m/z	0.008986613	0.078755846	0.00342033
7.41_185.1277m/z	0.0224116	0.063164677	0.00343045
9.33_229.1425m/z	0.02732601	0.35898323	0.00355381
8.67_384.0466m/z	-0.778538533	0.254438072	0.00358368
8.54_489.1392m/z	0.032170778	0.037198953	0.00386877
8.99_455.2021m/z	-0.342059796	0.059430228	0.00400147
7.50_134.0609m/z	0.012144355	0.561348498	0.00419651
10.35_647.2629m/z	-0.019971909	0.059919522	0.00434377
8.32_137.0589m/z	-0.024130262	0.05953133	0.00444587
11.83_172.1688m/z	0.01960967	0.034103889	0.004627
12.88_268.2264m/z	0.022208601	0.243653772	0.00475669
8.51_227.0554n	0.006579029	0.147352299	0.00482313
9.05_200.0370m/z	-0.74918344	0.128301581	0.00487228
9.28_461.1070m/z	0.353624701	0.241900711	0.00515527
11.93_549.1032m/z	0.006781538	0.151741894	0.00518096
9.03_259.0959m/z	0.209300456	0.135147313	0.0053416
10.78_377.1929m/z	-0.031383785	0.048622163	0.00535809
8.08_477.1764m/z	0.032473683	0.186002929	0.00540312
8.50_408.0289m/z	-0.03445519	0.011503026	0.00540943
9.05_382.0672m/z	0.482692772	0.146542724	0.00566319
11.50_285.1229m/z	-0.048799607	0.017929222	0.00569378
6.57_331.0602m/z	0.012986226	0.067614016	0.00578643
12.59_483.2943m/z	-0.011391589	0.022019551	0.00579085
11.30_412.0569m/z	0.455382806	0.115840405	0.00583288
7.51_263.0281m/z	0.010892359	0.147210255	0.00584296
9.40_191.0696m/z	0.084547977	0.016239792	0.00605422
8.46_170.1164m/z	-0.118685729	0.545975741	0.00614606
10.27_256.1555m/z	-0.018817517	0.225461867	0.00617186
10.67_386.0370m/z	8.592397616	0	0.00619764
12.19_213.1494m/z	0.005352815	0.08757865	0.00626936
9.21_381.0279m/z	-0.019637577	0.084068572	0.00628074
1.26_124.0071m/z	-0.004603726	0.16697535	0.00663921
9.35_251.1251m/z	0.028085456	0.069598127	0.00701022
12.08_357.0925m/z	0.012971979	0.033442483	0.00726884
1.77_136.0385m/z	0.104815146	0.258046761	0.00728804
8.84_149.0417m/z	0.00640292	0.045844358	0.00730474
9.17_229.0835m/z	-1.715123331	0.470877765	0.00761935
9.83_460.0203m/z	-0.052130801	0.212744323	0.00797877
7.14_170.1165m/z	-0.158057931	0.136615867	0.00815957
11.59_383.0893n	0.712946275	0.804565319	0.00824666
12.76_253.2179m/z	-0.011179464	0.025593785	0.0084067
10.00_149.0604m/z	-0.100827721	0.067365941	0.0085004
8.02_153.1264m/z	0.052816141	0.367838412	0.00854459
8.51_160.0749m/z	-0.04444971	0.26599831	0.00857408
9.29_368.0872m/z	-0.175519602	0.155003721	0.0086183
9.04_153.0774m/z	-0.182322677	0.667539321	0.0087286
12.99_472.3413m/z	-0.01141708	0.134004652	0.00925116
11.15_397.0708n	-1.570782473	0	0.00928915
11.33_721.2104m/z	0.022418614	0.065293036	0.00950416
13.23_474.3571m/z	-0.012220394	0.10633032	0.00966283
11.93_476.1820m/z	-0.071421996	0.031820697	0.00973981
9.84_281.9763m/z	0.063586826	0.057219838	0.0097872
10.31_241.1051m/z	-0.085583413	0.692161796	0.00978853
12.73_448.2440m/z	-0.02191301	0.042597219	0.00993788
13.43_483.2466m/z	-0.047788883	0.004616243	0.00997464
9.43_252.0298m/z	-0.962677761	0.115195577	0.0102204
10.46_414.2033n	-0.133201865	0.090991463	0.010371
7.77_212.1183m/z	-0.053642388	0.389296197	0.0104126
9.37_449.1104m/z	-0.169992856	0.452919736	0.0105394
13.65_239.0867m/z	-0.005844574	0.035887046	0.0106062
7.50_277.9752m/z	-0.062535168	0.008834641	0.0106666
1.33_653.1901m/z	0.077289844	0.173109231	0.0107441
11.24_453.2736m/z	1.769731273	0.121513823	0.010947
9.58_356.2435m/z	0.067433264	0.272968973	0.0109954
8.99_364.0781m/z	-0.053734088	0.009366387	0.0111886
1.11_541.1192m/z	0.041728879	0.081252202	0.011371
11.88_253.1443m/z	-0.024510144	0.281168771	0.0116076
7.98_135.0432m/z	-0.116777332	0.460463492	0.0117898
11.07_345.2810m/z	-0.139188159	0.069547152	0.0124778
13.19_337.2732m/z	-0.019969518	0.048356543	0.0125236
10.02_133.0640m/z	-0.188374777	0.01932002	0.0127912
