Compound	Ratio 	pValue	vip
18.32_346.8113m/z	-0.0000193	0.029385841	0.0000218
7.14_170.1165m/z	-0.001737355	0.019363611	0.0000857
10.27_327.1358n	0.0000732	0.019667962	0.0000892
0.10_61.0283m/z	-0.000822283	0.005813111	0.000242057
11.17_247.1774m/z	-0.000574383	0	0.000242151
10.05_211.0749m/z	0.26030675	0.043023784	0.000339753
8.08_406.1634m/z	0.296826948	0.12736481	0.000421251
12.10_291.1195m/z	-0.0022552	0.402546156	0.00048525
10.14_193.0856m/z	0.01301952	0.060461779	0.000498682
7.88_413.2653m/z	0.000821436	0.020244998	0.000509685
12.14_226.1218m/z	0.000634168	0.00923594	0.000681901
7.41_185.1277m/z	0.005225673	0.056789996	0.000810244
8.57_345.0910m/z	-0.180851107	0.042867009	0.000859943
10.16_599.2506m/z	0.001831146	0.109043849	0.000881486
12.27_428.2782m/z	0.009284257	0.144310673	0.000923157
9.05_382.0672m/z	0.104127262	0.479471927	0.00112245
9.85_193.0302m/z	0.006919567	0.238298384	0.00123763
11.33_363.1076n	0.167937686	0.256559226	0.00132043
13.40_778.5342m/z	0.002489233	0.057841583	0.00132759
11.81_348.1932n	0.014532154	2.132978231	0.00132891
9.15_373.1637m/z	0.517798445	0.051467229	0.00133279
9.27_187.1338m/z	0.003928289	0.057695239	0.00143677
8.39_465.0521m/z	-0.079293943	0.034968192	0.00144636
9.84_493.1334n	0.1455143	0.011125469	0.00144743
11.23_517.2391m/z	-0.058996273	0.115796178	0.0014547
12.99_472.3413m/z	-0.001944014	0.188208571	0.00148531
8.64_424.1195m/z	-1.22539473	0.1563817	0.00161578
10.31_354.0288m/z	0.138238086	0.529094337	0.00161999
11.35_294.1134m/z	0.104224973	0.7061559	0.00165652
9.61_343.1392m/z	0.01643919	0.213020137	0.00170931
1.85_161.0953m/z	-0.008947942	0.012569265	0.00176145
9.73_513.2016n	-0.031617056	0.588781107	0.00177752
11.34_379.0903m/z	1.1868683	0	0.00181828
8.74_449.1080m/z	0.025541661	0.011147303	0.00183414
9.04_153.0774m/z	0.034666261	0.056043735	0.00183974
8.60_422.1056m/z	0.047860927	0.570895609	0.00185127
8.98_269.0099m/z	0.011244219	0.106803799	0.00197595
10.27_383.1037m/z	-0.008107027	0.073262032	0.00203226
1.13_919.3067m/z	-0.003836674	0.116081471	0.00206938
