Compound	log2FC	-log10(pValue)	vip
9.63_543.1569m/z	-0.000835112	0.2099007	0.000180191
11.02_415.1514m/z	0.001131874	0.072097619	0.000374088
11.67_601.2704m/z	0.00111876	0.1358397	0.000500231
8.46_170.1164m/z	-0.008783752	0.025102541	0.000618112
9.20_322.1798m/z	0.014388109	0.27994163	0.000667002
7.89_285.0049m/z	0.002220696	0.088385424	0.000681672
9.53_248.1678m/z	-0.006555506	0.11396016	0.000749815
11.61_488.3360m/z	0.007816949	0.101338432	0.000792896
1.74_133.0308m/z	-0.000980597	0.081405133	0.000803973
8.72_337.1376m/z	0.002990214	0.496896018	0.00104679
9.72_327.1596m/z	0.002947231	0.000982616	0.00160382
10.27_383.1037m/z	0.005122329	0.123030303	0.00177235
9.46_187.1338m/z	-0.010036143	0.105844612	0.00180055
12.92_518.2489m/z	-0.005248483	0.074321337	0.0018297
10.46_414.2033n	-0.01763474	0.1654407	0.0018305
8.67_384.0466m/z	0.257990658	0.140900148	0.00197911
11.25_288.2683m/z	-0.00725083	0.088151268	0.00199506
1.28_294.0027m/z	-0.01731366	0.089236366	0.00201864
9.72_253.1344m/z	-0.003124485	0	0.00203912
1.76_166.0125m/z	0.001229141	0.025399431	0.00210546
11.83_255.1211m/z	-0.005255114	0.228643322	0.00210714
10.11_161.0592m/z	0.058034986	0.024293914	0.0021231
13.59_591.3235m/z	-0.002465944	0.087608405	0.00215428
12.80_576.2862m/z	0.004346864	0.006746344	0.00233906
1.27_69.0330m/z	0.016378184	0.132552548	0.00242054
11.24_387.2528m/z	-0.005149295	0.044313212	0.00245553
10.67_386.0370m/z	0.466380841	0.216390812	0.00247582
8.55_423.0321m/z	0.058169361	0.25550674	0.0028159
6.65_170.0593m/z	-0.00208698	0	0.00303765
7.61_156.1010m/z	0.054376537	0.039376081	0.00325352
10.68_499.1307m/z	0.011973339	0.286371714	0.00327758
9.43_252.0298m/z	0.259401978	0.166959402	0.00350232
12.69_450.2617m/z	0.008495657	0.012919892	0.00374134
10.72_371.1872m/z	-0.016825293	0.09008791	0.00380297
1.24_180.0026m/z	-0.022432844	0.14099868	0.00381488
7.41_185.1277m/z	-0.017185926	0.003949573	0.00383263
9.50_476.1907m/z	-0.022681455	0.021011014	0.00390776
18.11_108.9614m/z	0.008369948	0	0.00402983
9.53_531.3641m/z	0.037583014	0.36831277	0.00411825
13.20_624.2036m/z	0.005819222	0.011720705	0.00422803
7.86_282.9906m/z	-0.004431864	0.017536996	0.00429965
8.23_185.0438m/z	-0.012580827	0.039290497	0.00431722
