Protein IDs	Ratio	pValue
P55084	0.072436843	0.855395
P01706	0.076004747	0.135231
P13929	0.151048262	0.369076
A0A075B6J9	0.160511891	0.004
P01880	0.191140624	0.08165
P12883	0.204161044	0.837459
P19652	0.247534073	0.159479
A0A0B4J1X5	0.250466704	0.0113333
P06732	0.276688212	0.882136
P02763	0.28805802	0.0828571
P23083	0.296178916	0.17089
O75882	0.298857587	0.02592
Q13510	0.309943336	0.780362
P01709	0.311526328	0.0530435
O15389	0.315720124	0.525829
P08185	0.330980835	0.0133333
P69892	0.341530807	0.283314
P25311	0.344299612	0.0705085
O95678	0.35050585	0.677893
P02787	0.3576125	0.0261818
A0A0B4J1V0	0.362386537	0.0262609
P04430	0.36460952	0.0324444
Q14689	0.367169156	0.685364
P02768	0.378614624	0.0215556
P0DJI9	0.38243708	0.74118
P31944	0.383502815	0.888093
P01008	0.385410698	0.0112727
P01023	0.387976996	0.0489231
Q9Y274	0.3915839	0.366798
P0DJI8	0.394255464	0.394145
P0DP02	0.398797893	0.0221176
P01742	0.401170539	0.207745
P01011	0.405727432	0.0706897
P06312	0.408822362	0.01475
A0A0A0MRZ8	0.411889134	0.0110769
P16050	0.413450006	0.645437
A0A0J9YXX1	0.414605633	0.719934
Q6E0U4	0.419310012	0.0206316
P01780	0.420037184	0.004
P01624	0.420744366	0.012
P02774	0.422384891	0.0124
P00738	0.431176378	0.102692
P01619	0.434120834	0.0135
A0A0A0MS15	0.435924686	0.06008
Q16610	0.436744353	0.577222
Q15517	0.441292383	0.894455
A0A0B4J1Y8	0.44427073	0.58446
P43652	0.444925519	0.203189
P69891	0.446641534	0.277159
Q14764	0.451494938	0.195855
O43451	0.451648871	0.789704
Q8IX19	0.452170307	0.450367
P80748	0.452659501	0.0693548
P22352	0.457649933	0.0751045
P01009	0.458313247	0.0498947
O75636	0.47067684	0.164591
Q7Z794	0.473637591	0.981355
A0A0C4DH73	0.479015581	0.124542
A0A0C4DH38	0.479433217	0.082321
P02750	0.481683982	0.0800556
P02790	0.481890151	0.0716
P01859	0.483465764	0.10036
Q08188	0.488415967	0.789928
Q02413	0.488466336	0.773524
P01599	0.496406626	0.0966122
P01871	0.498898764	0.0784928
A0A0C4DH36	0.499617763	0.660689
Q5D862	0.501662329	0.66263
P04217	0.506292037	0.0632157
P25815	0.510616046	0.763048
P00751	0.514580483	0.0801127
Q6UWF9	0.516478934	0.744755
Q9NP80	0.517727844	0.143882
O60603	0.526235099	0.275411
P82979	0.536955253	0.878421
P35858	0.537373459	0.00266667
Q16851	0.538188477	0.305186
P00450	0.539936914	0.0477
P60985	0.54095646	0.505969
P06331	0.541093308	0.144652
P05155	0.541365583	0.471366
P05019	0.542895943	0.008
A0A0J9YX35	0.543007755	0.0905217
P13646	0.544393877	0.972679
O43866	0.54684869	0.214742
Q15485	0.547430884	0.789455
P14317	0.553708885	0.945264
O60911	0.554868139	0.18704
A0A087WSY6	0.556577472	0.0959167
P04264	0.556996448	0.564408
P01700	0.55787065	0.148145
P13645	0.563559647	0.887542
Q14773	0.565330688	0.277031
A0A0B4J1V6	0.572648163	0.106286
P25090	0.572691708	0.325687
P01857	0.576338897	0.082
Q96P63	0.576975395	0.969053
Q9Y2R2	0.582505817	0.738383
P28289	0.588106831	0.300393
P00739	0.588818082	0.148143
P01111	0.596963833	0.323648
Q99460	0.598187578	0.419548
Q8N1N4	0.598952309	0.943698
P01834	0.599652676	0.0798421
P10643	0.601279845	0.169124
P19827	0.602361203	0.0640727
P20702	0.604190678	0.582808
Q687X5	0.604640118	0.372136
Q08554	0.6047894	0.562953
Q92945	0.60499537	0.671727
P13671	0.607434852	0.0694286
P02679	0.613436419	0.30946
P07305	0.61359825	0.961043
P08637	0.613978847	0.506681
P01040	0.614846163	0.968498
P01877	0.616504565	0.196185
P15924	0.617594611	0.772694
P02549	0.618112565	0.307767
P11277	0.618172293	0.307657
Q92734	0.619469818	0.397743
P11597	0.62190565	0.252565
P02743	0.622498865	0.193319
P25025	0.623201986	0.595083
P35612	0.626746029	0.323915
P21980	0.627299567	0.545897
P02675	0.629728543	0.353991
P04070	0.630241645	0.0459355
P16157	0.630301836	0.314587
Q08495	0.630744941	0.369272
P35611	0.631722194	0.32328
A5D8V6	0.632811654	0.622287
P01591	0.638656692	0.307026
P02671	0.640181762	0.363333
P01876	0.642032263	0.257359
Q96P11	0.6431972	0.709906
P21810	0.644308435	0.690058
Q08380	0.644690157	0.49229
P21462	0.645504217	0.741881
P39748	0.647432667	0.500775
O00182	0.648243149	0.72208
P28070	0.652779405	0.276542
P06681	0.65413524	0.384205
Q99986	0.654289392	0.643778
P43686	0.654973507	0.637697
P05156	0.655589108	0.282887
P02724	0.655740354	0.346998
P00747	0.655785187	0.0128571
P01019	0.658277988	0.254718
P22234	0.658656929	0.214354
Q99828	0.662665656	0.245041
P11171	0.66300209	0.346518
Q9NZP8	0.664622568	0.27436
Q15223	0.664952684	0.563453
Q0VDD8	0.666045125	0.855471
P02749	0.6677946	0.120276
Q8WUM4	0.669835533	0.521965
P04921	0.669909712	0.325029
Q9NZT1	0.670045759	0.60043
Q92530	0.672289933	0.356407
P02766	0.673278581	0.045697
P02042	0.673660534	0.503278
Q04941	0.677836894	0.237533
P16452	0.678378541	0.374
P02730	0.678774272	0.326382
P28074	0.679414728	0.358248
P13647	0.681498079	0.942562
P01024	0.681919756	0.287447
P15144	0.6821305	0.382261
Q9Y265	0.683191794	0.306582
Q9Y6W3	0.684855383	0.609312
A2NJV5	0.685214678	0.19557
P31997	0.685292609	0.608421
Q15349	0.687238759	0.918601
P55160	0.688460979	0.538224
B9A064	0.688483817	0.34742
P55072	0.689117495	0.246575
Q9Y230	0.691060288	0.64383
P11166	0.692996751	0.350554
P29692	0.693301083	0.563012
P06753	0.694607252	0.391544
Q96RF0	0.694631899	0.981612
P04040	0.69622189	0.279622
P13942	0.698925286	0.356853
P07360	0.699465966	0.562707
Q13228	0.700841026	0.399901
Q8IYT4	0.702281111	0.217791
P22792	0.702492325	0.161162
P19367	0.70265313	0.852505
P18577	0.703132597	0.387659
P35998	0.704083716	0.292494
A0A075B6R9	0.704135063	0.302339
P51884	0.704921079	0.391602
O00231	0.705338717	0.30625
P02778	0.705459037	0.385531
P32942	0.705791324	0.632443
Q12802	0.706335117	0.967326
P60900	0.707142352	0.258788
P07357	0.707405813	0.322722
Q14624	0.707482872	0.203023
P60484	0.708337131	0.942115
P55056	0.710440874	0.258607
Q08722	0.711863223	0.32343
Q14005	0.711914054	0.56261
O14818	0.712343672	0.215196
O75923	0.712739465	0.57478
Q5TDH0	0.712829203	0.563753
P32320	0.713316619	0.861965
Q92905	0.714507165	0.429108
Q9NTJ5	0.714974384	0.440356
P32119	0.716426632	0.326479
P24593	0.717172342	0.13074
O14791	0.717388142	0.185282
P04196	0.718736315	0.101592
O00487	0.718869498	0.337441
P11215	0.719770806	0.594152
P12035	0.720387466	0.88764
P49913	0.721115378	0.386335
P17931	0.722013036	0.564498
P50895	0.722740638	0.561806
P0DOY2	0.724024511	0.410621
P22460	0.72418253	0.609466
P35908	0.725210302	0.988852
P04003	0.725678289	0.350953
Q9Y4H4	0.726831377	0.937958
Q6IA69	0.727750489	0.589393
P25789	0.729384027	0.294795
Q5VW32	0.729938758	0.930167
Q9Y5K6	0.730575623	0.682849
P00915	0.733406738	0.644708
O95445	0.735147224	0.0937204
Q6X784	0.736688216	0.907542
P35527	0.736803462	0.705572
P49720	0.739536783	0.323414
P22748	0.739957923	0.502517
Q92783	0.741178711	0.62685
Q99808	0.742082013	0.507937
P25786	0.742300284	0.381579
P23276	0.742697399	0.470805
P40818	0.743242711	0.839942
Q9BT78	0.743380375	0.31008
Q9P107	0.7435689	0.943729
P62195	0.74453947	0.246371
P53990	0.744866989	0.644177
P20618	0.747463626	0.399941
P81605	0.748019957	0.401812
Q9UIA0	0.748096184	0.989317
O75326	0.749332915	0.577755
Q0VGL1	0.749347338	0.705543
P14923	0.7501684	0.907603
O43242	0.750226058	0.374231
P53396	0.750776681	0.324359
P13798	0.751567059	0.372685
P08603	0.751687916	0.397949
Q9H3S7	0.752004805	0.951627
P27701	0.754503626	0.623486
Q00610	0.756209558	0.540938
P23634	0.756442443	0.408897
P28676	0.759058323	0.669856
P17927	0.759270083	0.444961
P62333	0.759346731	0.325035
P02765	0.759547217	0.199074
P22303	0.759587622	0.564137
Q6UWE0	0.760619992	0.957153
Q13336	0.760638045	0.518692
Q13459	0.760985442	0.812199
P16070	0.760996779	0.247261
P21730	0.761024548	0.71541
P28066	0.761489052	0.324905
O94919	0.761590952	0.641011
O75955	0.762417035	0.646042
Q13200	0.762467221	0.352949
A0A0C4DH25	0.762472769	0.181916
P05107	0.762751844	0.594704
P19256	0.762931612	0.518184
P35613	0.76469622	0.33588
P08579	0.765354691	0.594498
Q9ULA0	0.766699099	0.386464
P25787	0.767222717	0.362494
P13716	0.769051021	0.361839
O00560	0.769448234	0.714181
P02533	0.769723825	0.927478
P41218	0.770141965	0.982342
P04899	0.771250384	0.509373
P33121	0.772590218	0.731897
Q76LX8	0.772673892	0.324268
P02647	0.772954089	0.205204
P17980	0.774832605	0.522452
P49862	0.774899438	0.58017
Q9UM07	0.775132282	0.914288
O94804	0.77548593	0.865585
P34910	0.77659212	0.914277
P07358	0.777163694	0.288297
Q9H2G2	0.77729005	0.604579
Q14254	0.777886305	0.644146
Q9NP59	0.778142634	0.502448
P02654	0.780747829	0.186346
Q9NZB2	0.780866901	0.642105
P49721	0.781954502	0.391503
Q01432	0.782720431	0.292959
Q8NBI5	0.783006609	0.629934
P25788	0.784291346	0.399566
O95498	0.784676537	0.881376
Q8NHG7	0.785578531	0.706892
Q5JSL3	0.785902635	0.816263
Q96EY5	0.786458958	0.972548
P26583	0.7867391	0.834673
Q66K74	0.78797207	0.876408
P22105	0.788714378	0.739909
Q8N6Q3	0.788847412	0.879588
Q8NDX1	0.790589707	0.994586
P68871	0.791396051	0.593658
P08697	0.791424181	0.39191
P45974	0.791860569	0.849286
Q00013	0.799261909	0.451618
P46940	0.799948807	0.980955
Q15166	0.800219414	0.391933
P05546	0.800288588	0.502494
Q9UHG3	0.800514257	0.299392
O75695	0.800954678	0.434378
P28482	0.801128148	0.967671
P50990	0.801221355	0.420513
O15162	0.801282288	0.597293
P03952	0.802374942	0.374253
Q5TC84	0.804786481	0.671403
P67775	0.806123899	0.346175
P24071	0.806444217	0.989295
Q08830	0.8075435	0.816002
O43427	0.807556519	0.967876
Q99436	0.807687287	0.819639
Q15027	0.808311424	0.906594
Q9UGM5	0.808659274	0.809166
Q8IU68	0.808691133	0.815669
P19823	0.810637108	0.391456
P08575	0.810892212	0.540588
Q9UNM6	0.811728809	0.310143
P29972	0.811757084	0.577525
