Protein IDs	Ratio	pValue
P55084	0.041436076	0.490146
P12883	0.123132394	0.797466
P13929	0.160655926	0.180239
P06732	0.175543823	0.292871
P01880	0.186118349	0.0120896
P01706	0.234128037	0.0630293
P01709	0.253874584	0.0107107
A0A075B6J9	0.272958474	0.0196866
Q15485	0.293716542	0.0645538
P19652	0.323808772	0.160638
P23083	0.329228256	0.0303164
A0A0B4J1Y8	0.344941309	0.128051
A0A0B4J1X5	0.357669673	0.0264505
Q9Y274	0.361233421	0.0525792
O60911	0.36298524	0.00495238
Q13510	0.380728398	0.697583
A0A0A0MRZ8	0.401650007	0.004
P14317	0.404178159	0.872837
Q15517	0.410198828	0.811779
P02763	0.417930722	0.172069
Q9NZT1	0.420243283	0.0185594
A0A0J9YX35	0.4253945	0.00939535
A0A0C4DH73	0.430329043	0.0126667
Q02413	0.433016847	0.244981
P31944	0.435598896	0.964787
P01023	0.437598925	0.017085
Q6E0U4	0.43809643	0.00973585
A0A0B4J1V0	0.440908037	0.016135
P06312	0.44300405	0.00981333
Q08188	0.448898815	0.215558
P02679	0.452077663	0.00996721
A0A0C4DH25	0.452158851	0.0106667
P02675	0.459541433	0.00987755
P01742	0.461258548	0.0366651
P22352	0.466215794	0.0171129
Q7Z794	0.469337787	0.585662
A0A0C4DH38	0.47745559	0.0260494
O15067	0.48106749	0.822351
Q5D862	0.482661661	0.274286
P01624	0.485017958	0.00947126
P11597	0.489771424	0.00966038
P01780	0.497497531	0.0052
P01599	0.497550924	0.0164167
P69892	0.500418935	0.0700396
P80748	0.501193778	0.0302295
A0A0A0MS15	0.504265639	0.0375356
P25815	0.508915255	0.57539
P05019	0.509833101	0.004
Q08554	0.510157374	0.0840836
P02787	0.512902988	0.0727021
P13646	0.514638438	0.450003
P02671	0.518108021	0.0163697
P01619	0.519667626	0.0118345
P01040	0.520167841	0.46003
P25311	0.520900957	0.111302
O95678	0.523538751	0.352999
P01008	0.530905769	0.0279769
P04278	0.531283221	0.0317475
P13645	0.532832688	0.382489
P02768	0.534814741	0.0543802
Q9NTJ5	0.535452861	0.0230495
A2NJV5	0.538315846	0.0900491
O15389	0.539901177	0.408447
O75882	0.540716884	0.0886154
Q92530	0.541325732	0.0698146
P60985	0.543049629	0.69907
P08185	0.544998461	0.0569394
Q9Y3Z3	0.548898832	0.83287
P0DJI9	0.549811856	0.550219
Q8N1N4	0.552417721	0.300226
P01859	0.555964273	0.0733974
P00738	0.557397849	0.0448101
A0A0C4DH36	0.559000408	0.744603
P43652	0.559085125	0.267263
P06331	0.566982892	0.0569779
P21810	0.571851888	0.276943
P35858	0.571936386	0.00447059
Q9UHG3	0.573594586	0.0048
Q969F9	0.57621757	0.763468
P04264	0.576985055	0.23434
P0DP02	0.582460976	0.00918182
Q9H6X2	0.584178405	0.101839
P35611	0.590449155	0.0555821
P81605	0.591712481	0.0260745
P28289	0.595211844	0.0706098
Q6FHJ7	0.595742659	0.00486957
P15090	0.598041532	0.801036
P18577	0.600544527	0.0553641
P12035	0.602915474	0.366593
P02549	0.60489952	0.0697475
P11277	0.60529795	0.0690667
Q16610	0.607071486	0.689697
P02730	0.608273365	0.050664
P16452	0.60872797	0.0693045
Q08495	0.609811477	0.0940056
P35612	0.610241148	0.0811964
Q96P63	0.611771422	0.719984
P35527	0.61180258	0.191108
P07339	0.612141875	0.356293
P02724	0.612720523	0.0708515
P01011	0.61895525	0.206225
A0A075B6R9	0.620322418	0.0404835
Q8WUA8	0.620950646	0.0773683
P16157	0.621232272	0.0783865
Q08830	0.623932124	0.417997
P01834	0.626427173	0.0448795
O14791	0.62718349	0.0098018
P02774	0.627710787	0.0615804
P19827	0.627769294	0.0201594
Q13093	0.628493001	0.0386993
P0C0S5	0.629891369	0.741878
O95445	0.631909008	0.0024
Q9Y4G2	0.634129893	0.0352632
P06753	0.63456014	0.094082
Q14773	0.634849341	0.160395
P01857	0.634863544	0.0518527
P02790	0.635907595	0.153838
P01700	0.637150418	0.0912665
P13942	0.637702357	0.0682563
Q5TEC6	0.637756247	0.765578
Q14689	0.638460693	0.359832
Q00610	0.638775293	0.0915505
P11171	0.638793583	0.0864919
P01876	0.639341519	0.0611338
P04921	0.639353977	0.111531
A6NML5	0.639578653	0.0728039
P01009	0.63975828	0.121814
P01877	0.639771962	0.0721491
P01019	0.64047228	0.0548528
P38646	0.641952568	0.163449
P35908	0.643283843	0.408632
P09493	0.643516559	0.0468618
O94919	0.645021699	0.121146
P55056	0.645209417	0.0197518
Q6K0P9	0.645510622	0.901368
P55058	0.646199313	0.0158283
P55160	0.647158729	0.415806
Q16674	0.648194818	0.0163485
P12829	0.650757349	0.123026
P08697	0.650802888	0.015386
Q59EK9	0.651188244	0.063069
P0DJI8	0.652012714	0.728126
P13671	0.652146898	0.0317389
Q15848	0.653118673	0.215971
P62805	0.653386091	0.125004
P07358	0.654156675	0.00951111
P63208	0.654285813	0.0598146
Q8N5K1	0.656280802	0.107401
P53675	0.659110162	0.268615
Q15109	0.660116906	0.0770988
P08603	0.660599137	0.0364815
P19367	0.660833743	0.91113
Q15166	0.66087905	0.011675
P00450	0.661204328	0.0904978
P00746	0.661544643	0.701338
O75923	0.662106948	0.24382
O43242	0.662161897	0.0790427
P00441	0.664630895	0.215832
O75367	0.665630084	0.814696
Q14574	0.666890156	0.131605
P04217	0.666917987	0.17217
P22105	0.669419708	0.255502
Q6Q788	0.669663226	0.0276628
P01024	0.669705176	0.0724976
P69891	0.671289683	0.344654
Q13790	0.672329029	0.022116
Q9Y5K6	0.673596168	0.408574
Q9NZP8	0.674797514	0.0747253
Q8N474	0.676241734	0.518848
P05141	0.677126031	0.189298
A0A0J9YXX1	0.677360801	0.746887
P14151	0.677932403	0.0121749
Q9UJC5	0.679828323	0.25568
Q76LX8	0.680206905	0.0198691
P36955	0.680710413	0.048489
P49862	0.681594499	0.207852
Q9H479	0.682930324	0.43429
P02647	0.68395959	0.0097284
P04114	0.686828265	0.0118571
O75610	0.690159525	0.206389
Q9Y6Z7	0.690271499	0.0325786
Q8TD19	0.691059642	0.506053
P41159	0.691573877	0.769492
Q13103	0.691732833	0.265418
P05090	0.692207682	0.0186977
P15924	0.693178188	0.559196
O75636	0.695095923	0.520826
Q9BWP8	0.695098246	0.0359153
P16403	0.695209952	0.120512
P50991	0.695927714	0.149861
Q16851	0.69620178	0.474172
P07305	0.696437686	0.909036
Q99460	0.696505212	0.716073
P02749	0.697370404	0.055384
P49368	0.697805557	0.121056
Q0VDD8	0.701776245	0.890066
P02750	0.701967072	0.119376
O00487	0.701995331	0.181197
Q02094	0.702928082	0.28248
P24593	0.704614452	0.0261963
P02751	0.704924092	0.0664762
P22234	0.706724925	0.189429
Q9UNQ0	0.708438153	0.60322
Q6X784	0.708602697	0.785024
Q8WZ42	0.709734106	0.279801
P21980	0.710326118	0.635465
P08519	0.711730021	0.536599
P00747	0.714517831	0.0119167
P10321	0.714662095	0.189462
P00734	0.715254889	0.0784587
P02654	0.716149219	0.0126702
Q99832	0.716923473	0.142312
P82979	0.717544747	0.477706
P00751	0.717858902	0.316128
Q9UMS6	0.717923564	0.0303043
P05546	0.718281436	0.0691973
Q4KMQ2	0.719467858	0.572402
P02511	0.719756051	0.125611
Q14764	0.720640316	0.441018
P10412	0.721514061	0.42773
P05155	0.721785421	0.848892
P04180	0.722477958	0.0302995
Q9UGM5	0.722600318	0.234374
Q08722	0.72434562	0.157658
P13807	0.724895614	0.8147
Q9BSL1	0.725966661	0.160885
P04070	0.726608216	0.0378239
P11166	0.727349042	0.200666
P02649	0.728017414	0.0693132
P05452	0.728083441	0.146977
Q05707	0.728273934	0.215732
P22792	0.728342446	0.0675541
P11717	0.729025316	0.293605
P06681	0.729410843	0.371841
Q13619	0.729594218	0.334354
P24158	0.729665562	0.441319
P58335	0.730079014	0.401013
P11233	0.731268986	0.0878134
