Protein IDs	Ratio	pValue
A0A075B6J9	1.700549856	0.837999
A0A075B6R9	0.880970784	0.748108
A0A087WSY6	1.340356544	0.953968
A0A0A0MRZ8	0.97514106	0.933582
A0A0A0MS15	1.156772386	0.839432
A0A0B4J1V0	1.216678855	0.745022
A0A0B4J1V6	1.758034638	0.635975
A0A0B4J1X5	1.428012852	0.250016
A0A0B4J1Y8	0.776421414	0.606887
A0A0C4DH25	0.593016393	0.792637
A0A0C4DH36	1.118856152	0.67193
A0A0C4DH38	0.995875072	0.973233
A0A0C4DH67	1.254965775	0.671301
A0A0C4DH73	0.898361265	0.730332
A0A0J9YX35	0.783404097	0.661857
A0A0J9YXX1	1.633747219	0.928797
A0A1B0GTC6	0.820415323	0.675444
A0FGR8	1.022706947	0.837763
A2NJV5	0.785616338	0.793119
A5A3E0	0.889333278	0.450515
A5D8V6	1.342963637	0.214753
A6NDG6	1.11950058	0.772806
A6NH11	0.891085768	0.646603
A6NI72	1.438877452	0.02304
A6NML5	0.617073929	0.129337
B0I1T2	0.638968852	0.0667512
B2RUZ4	0.866631546	0.795541
B5ME19	0.809442211	0.51224
B9A064	1.364729615	0.700589
E9PAV3	1.238919747	0.222819
G9CGD6	1.796935756	0.004
O00139	0.776731058	0.227056
O00148	1.163700934	0.749099
O00151	0.407278749	0.450161
O00159	0.535527286	0.131398
O00160	1.089391656	0.788388
O00161	1.156823374	0.907848
O00178	1.388389896	0.0669254
O00182	1.54756561	0.403726
O00186	1.38842867	0.0308571
O00187	1.032527828	0.721778
O00194	0.882796861	0.570905
O00203	1.03187491	0.853948
O00231	1.095553092	0.655244
O00233	1.123653107	0.423707
O00299	1.075716363	0.93727
O00303	0.752344481	0.434101
O00339	0.760200103	0.226554
O00391	0.733163076	0.169217
O00421	0.984860138	0.957624
O00429	1.022207098	0.874781
O00442	1.083956963	0.970886
O00478	1.019664918	0.867998
O00487	0.976526802	0.931337
O00560	1.323284219	0.226355
O00571	1.449298752	0.0225085
O14526	1.708796654	0.0786777
O14617	1.392694751	0.123796
O14672	0.92299194	0.543997
O14744	0.862121757	0.405507
O14745	0.83209088	0.450619
O14791	0.874259628	0.313905
O14818	1.125549945	0.464104
O14950	0.701264522	0.212175
O14960	0.792908053	0.214699
O14964	1.022789441	0.626373
O14979	1.26311347	0.222788
O15067	0.493517742	0.944017
O15117	1.387993255	0.107608
O15126	0.876665475	0.611073
O15143	1.100396131	0.751822
O15144	0.967932428	0.864018
O15145	0.983769252	0.789201
O15162	1.557287631	0.252637
O15204	0.574566864	0.206788
O15230	0.844905664	0.749091
O15264	1.319844403	0.233904
O15305	1.489310532	0.151191
O15335	0.801708809	0.285036
O15347	1.139962644	0.789109
O15371	1.338692824	0.0571585
O15389	1.710062601	0.950917
O15400	1.310009928	0.258656
O15467	0.580842038	0.0988203
O15498	1.296795654	0.750176
O15511	0.926863905	0.713887
O15523	1.946664125	0.24297
O15530	1.672575284	0.0309247
O43143	0.736715741	0.587651
O43242	0.882616499	0.884438
O43314	1.264360747	0.225014
O43324	0.67889107	0.113321
O43390	1.138884796	0.675741
O43405	0.657379738	0.424028
O43427	1.408037577	0.252283
O43451	1.997023768	0.445086
O43488	1.067823803	0.953821
O43504	1.416204362	0.113362
O43516	1.350228832	0.116294
O43566	1.669072025	0.0176
O43583	1.184570075	0.78914
O43586	1.691198133	0.0247536
O43633	1.274524136	0.180366
O43639	1.168850358	0.626523
O43681	0.84223807	0.576936
O43704	1.388284343	0.116661
O43707	0.6818924	0.315092
O43768	0.988340111	0.941805
O43776	1.538896823	0.0331881
O43815	1.562646316	0.200417
O43866	1.703844967	0.449416
O60234	1.100142465	0.687804
O60331	1.15428147	0.620835
O60488	1.405527776	0.112312
O60493	1.469056138	0.134364
O60506	1.29170404	0.130466
O60524	0.845236125	0.833615
