##Data visualization were performed with Cytoscape

name	query term	BP	log2FC	pachy-con _z	nonpachy-con_z	pachy-nonpachy_z	pachy-con _b	nonpachy-con_b	pachy-nonpachy_b
9606.ENSP00000435412	Q15418	MAPK signaling pathway	0.767329635	0.768160051	0	0.767329635	1	0	1
9606.ENSP00000387246	Q9Y2U5	MAPK signaling pathway	0.888438219	0.703135447	0	0.888438219	1	0	1
9606.ENSP00000302486	Q02750	VEGF signaling pathway	0.817658957	0.817658957	0	0	1	0	0
9606.ENSP00000496129	P05771	Wnt signaling pathway	0.738125789	0.738125789	0	0	1	0	0
9606.ENSP00000365411	Q7Z5R6	Rap1 signaling pathway	0.833316648	0.833316648	0	0	1	0	0
9606.ENSP00000263025	P27361	VEGF signaling pathway	0.968436458	0.968436458	0	0	1	0	0
9606.ENSP00000378769	P62140	cAMP signaling pathway	0.681542132	0.681542132	0	0	1	0	0
9606.ENSP00000343658	O95819	MAPK signaling pathway	0.556805728	0.556805728	0	0	1	0	0
9606.ENSP00000401303	P29353	Ras signaling pathway	0.99482831	1.091671367	0	0.99482831	1	0	1
9606.ENSP00000361021	P60484	PI3K-Akt signaling pathway	0.797141298	0.797141298	0	0	1	0	0
9606.ENSP00000364898	P43405	PI3K-Akt signaling pathway	0.784000245	0.784000245	0	0	1	0	0
9606.ENSP00000386229	O43566	Rap1 signaling pathway	0.739046212	0.625931489	0	0.739046212	1	0	1
9606.ENSP00000249071	P15153	Wnt signaling pathway	0.783996074	0.767760081	0	0.783996074	1	0	1
9606.ENSP00000396467	Q16644	VEGF signaling pathway	0.595071126	0.653508108	0	0.595071126	1	0	1
9606.ENSP00000256078	P01116	VEGF signaling pathway	0.472586303	0	0	0.472586303	0	0	1
9606.ENSP00000262948	P36507	VEGF signaling pathway	0.563845084	0.563845084	0	0	1	0	0
9606.ENSP00000428056	P27986	Fluid shear stress and atherosclerosis	0.676056237	0.676056237	0	0	1	0	0
9606.ENSP00000376317	Q9H2K8	MAPK signaling pathway	0.459294387	0.459294387	0	0	1	0	0
9606.ENSP00000260402	Q00722	Wnt signaling pathway	0.796854451	0.739457801	0	0.796854451	1	0	1
9606.ENSP00000472929	P15498	cAMP signaling pathway	0.659790687	0	0	0.659790687	0	0	1
9606.ENSP00000326031	P62136	cAMP signaling pathway	0.575627965	0.676173067	0	0.575627965	1	0	1
9606.ENSP00000341905	Q86YV0	Ras signaling pathway	0.717528782	0.601059137	0	0.717528782	1	0	1
9606.ENSP00000358464	Q9UQ13	Ras signaling pathway	0.517521001	0.517521001	0	0	1	0	0
9606.ENSP00000298316	P62330	Ras signaling pathway	0.760952899	0.760952899	0	0	1	0	0
9606.ENSP00000348461	P63000	Wnt signaling pathway	0.382830054	0.382830054	0	0	1	0	0
9606.ENSP00000422435	Q15349	MAPK signaling pathway	1.341802483	0.800685793	0	1.341802483	1	0	1
9606.ENSP00000359719	P22694	Wnt signaling pathway	1.158914585	1.158914585	0	0	1	0	0
9606.ENSP00000319060	Q13555	Wnt signaling pathway	0.804201738	0.759836597	0	0.804201738	1	0	1
9606.ENSP00000495530	P06733	HIF-1 signaling pathway	0.633318	0.633318	0	0	1	0	0
9606.ENSP00000369757	P62753	HIF-1 signaling pathway	0.655508109	0.585090679	0	0.655508109	1	0	1
9606.ENSP00000343325	Q16512	PI3K-Akt signaling pathway	0.533323183	0.620566011	0	0.533323183	1	0	1
9606.ENSP00000341268	Q15628	MAPK signaling pathway	1.001794919	1.001794919	0	0	1	0	0
9606.ENSP00000400175	P61586	Wnt signaling pathway	0.567313796	0.69367116	0	0.567313796	1	0	1
