##Data analysis and visualization were performed with SeekSoul‑Tools (version 1.0.0) 
##https://seeksoul.online/cloudplatform)‑doc/zh/document/Software/3_SeekSoul_Tools/
##Raw sequencing reads have been deposited in the NCBI SRA under BioProject accession PRJNA1520949 (http://www.ncbi.nlm.nih.gov/bioproject/1520949)


p_val	avg_log2FC	pct.1	pct.2	cluster	gene
0	1.974245829	0.916	0.339	0	Spp1
0	1.940405304	0.674	0.201	0	Ccl11
0	1.520672418	0.914	0.244	0	Gpc6
0	1.455523689	0.905	0.37	0	Gm13889
0	1.24733522	0.761	0.175	0	Ifitm1
0	1.187163696	0.585	0.175	0	Il6
0	1.178941845	0.74	0.151	0	Lsamp
0	1.169697896	0.807	0.411	0	Cxcl10
0	1.157274688	0.993	0.616	0	Rgs5
0	1.134588441	0.544	0.072	0	Nrxn1
0	1.125645629	0.971	0.7	0	Mt1
0	1.124599539	0.672	0.182	0	Ngf
0	1.082862981	0.73	0.167	0	Rarres2
0	1.071742249	0.695	0.204	0	Rgs7bp
0	1.052498996	0.941	0.574	0	Phlda1
0	1.04904623	0.939	0.663	0	Abi1
0	1.018587789	0.631	0.135	0	Edn3
0	1.008393013	0.664	0.142	0	Lama2
0	0.980072617	0.89	0.479	0	Mt2
0	0.960135898	0.944	0.636	0	Cebpd
0	0.940829419	0.822	0.303	0	Zeb2
0	0.939727443	0.505	0.09	0	Grm7
0	0.938895956	0.744	0.212	0	Lhfp
0	0.928859911	0.819	0.49	0	Cxcl1
0	0.920236514	0.887	0.453	0	Pde4d
0	0.885165614	0.798	0.287	0	Arhgap10
0	0.87997646	0.548	0.093	0	Ednra
0	0.869160074	0.664	0.153	0	Aspn
0	0.866866581	0.699	0.213	0	Rbms3
0	0.865387378	0.495	0.098	0	Rgs4
0	1.14566633	0.998	1	1	Gm42418
0	0.830017332	0.98	0.995	1	Actb
4.47E-294	0.7308415	0.974	0.992	1	AY036118
8.04E-256	1.534732107	0.765	0.894	1	Cmss1
5.48E-136	0.416144004	0.195	0.47	1	Jarid2
7.15E-135	0.415244267	0.123	0.339	1	Celf2
2.43E-106	0.607276632	0.186	0.423	1	Lars2
1.12E-105	0.369612204	0.186	0.417	1	Pmepa1
1.94E-96	0.399186383	0.208	0.446	1	Alkbh5
4.33E-93	0.725799596	0.257	0.537	1	Cdk8
3.17E-91	0.584344343	0.166	0.374	1	Patl2
2.89E-77	0.439716473	0.289	0.566	1	Ccnd2
8.09E-75	0.529891916	0.313	0.617	1	Syn3
1.16E-70	0.421781023	0.204	0.404	1	Pdgfa
2.07E-51	0.494347212	0.254	0.459	1	Adamts4
1.96E-47	0.47402223	0.379	0.698	1	Ptges3
1.00E-39	0.621978397	0.186	0.331	1	Dcn
6.25E-37	0.6336467	0.212	0.373	1	Abhd2
7.55E-26	1.223309804	0.311	0.527	1	Camk1d
1.96E-25	0.923527842	0.237	0.391	1	Ptgds
9.07E-24	0.466367205	0.673	0.856	1	Kdm6b
