##Data analysis and visualization were performed with SeekSoul‑Tools (version 1.0.0) and R (version 4.3.1/4.3.2)
https://seeksoul.online/cloudplatform)‑doc/zh/document/Software/3_SeekSoul_Tools/

gene	avg_log2FC	p_val	p_val_adj	type
Gm47283	1.41516276545489	5.825e-55	1.434e-50	up
Egfl7	-0.754210755	6.082e-51	1.497e-46	down
Ly6e	-0.675645195	1.341e-45	3.302e-41	down
Itm2b	-0.623540067	1.046e-41	2.575e-37	down
Rps29	-0.572736769	1.459e-38	3.591e-34	down
Ahnak	0.793241349279709	5.546e-37	1.365e-32	up
Gm11808	-0.540762587	9.125e-35	2.246e-30	down
Hmcn1	-0.863938154	1.068e-34	2.63e-30	down
Gm42418	0.593628925103626	1.74e-34	4.284e-30	up
Ramp2	-0.654500942	2.214e-34	5.452e-30	down
Cdkn1a	0.908796864842718	1.041e-33	2.562e-29	up
Macf1	0.646955276712043	3.656e-32	9e-28	up
Clec14a	-0.782818075	5.239e-32	1.29e-27	down
Laptm4a	-0.577981129	9.674e-32	2.382e-27	down
Oaz1	-0.632197711	2.13e-31	5.244e-27	down
Cthrc1	-0.871040842	1.401e-30	3.449e-26	down
Nav2	1.15619349936273	1.724e-30	4.245e-26	up
Rps28	-0.64754643	1.256e-29	3.091e-25	down
Ppia	-0.476661678	4.148e-29	1.021e-24	down
Clic4	0.655229361925782	4.88e-29	1.201e-24	up
Hbb-bs	-0.605639512	2.561e-28	6.306e-24	down
Rdx	-0.62177274	7.281e-28	1.793e-23	down
Rps21	-0.462068057	1.107e-27	2.726e-23	down
Ndufb4	-0.686205281	1.351e-27	3.326e-23	down
Selenow	-0.571644167	1.468e-27	3.613e-23	down
Hmox1	1.29291418362338	2.023e-27	4.981e-23	up
Ptgds	-0.743007763	4.764e-27	1.173e-22	down
Mast4	0.868331033330496	7.571e-27	1.864e-22	up
Col4a1	0.791867316958262	8.332e-27	2.051e-22	up
Rps26	-0.501115249	2.359e-26	5.808e-22	down
Myl12b	-0.548805751	2.45e-26	6.031e-22	down
Atox1	-0.626880572	5.132e-26	1.263e-21	down
Zfp791	-0.986172896	5.37e-26	1.322e-21	down
Tmem176a	-0.731533725	5.707e-26	1.405e-21	down
Selenom	-0.663056256	7.016e-26	1.727e-21	down
Tmem59	-0.549949686	8.311e-26	2.046e-21	down
Rpl6	-0.436354921	1.239e-25	3.051e-21	down
Serf2	-0.537125365	1.447e-25	3.562e-21	down
Tmem176b	-0.564800866	3.403e-25	8.378e-21	down
Pltp	-0.643088549	6.921e-25	1.704e-20	down
Itm2a	-0.68880562	7.359e-25	1.812e-20	down
Ppib	-0.585519909	8.237e-25	2.028e-20	down
Rpl37	-0.450057259	4.977e-24	1.225e-19	down
Eef1a1	-0.381588635	6.861e-24	1.689e-19	down
Rps27	-0.479185385	1.012e-23	2.49e-19	down
Rpl37a	-0.419920558	1.267e-23	3.119e-19	down
Rpsa	-0.468052865	1.628e-23	4.007e-19	down
Rpl36	-0.496007374	1.718e-23	4.23e-19	down
Sqstm1	0.947877114816306	2.478e-23	6.1e-19	up
Ndufa4	-0.491758153	2.59e-23	6.375e-19	down
Neat1	0.88542372774777	5.249e-23	1.292e-18	up
Uqcr11	-0.576463301	6.639e-23	1.634e-18	down
Rpl39	-0.44121563	7.012e-23	1.726e-18	down
Rps8	-0.31937661	7.557e-23	1.86e-18	down
Crip2	-0.501622545	1.659e-22	4.084e-18	down
Col4a2	0.735302600724065	1.775e-22	4.37e-18	up
Zbtb16	0.803074049120056	1.997e-22	4.915e-18	up
Rpl38	-0.472220876	2.574e-22	6.336e-18	down
Cd151	-0.613653572	2.603e-22	6.409e-18	down
Plvap	-0.587926001	2.689e-22	6.619e-18	down
Rpl26	-0.394607728	1.139e-21	2.804e-17	down
Rpl27a	-0.434996324	1.553e-21	3.823e-17	down
Ifrd1	0.882778937943526	2.188e-21	5.386e-17	up
Rpl9	-0.396536865	2.633e-21	6.481e-17	down
Ppfibp1	0.789312825697156	2.642e-21	6.504e-17	up
Cd81	-0.464528676	3.473e-21	8.55e-17	down
Fau	-0.417031204	4.583e-21	1.128e-16	down
Dbp	-0.49682192	5.574e-21	1.372e-16	down
Gpx4	-0.498655755	6.636e-21	1.634e-16	down
Prdx2	-0.486685857	7.875e-21	1.939e-16	down
Apoe	-0.6819936	9.16e-21	2.255e-16	down
