eye_id,mouse_id,group,polyp_present,polyp_count,vein_t0_um,choroid_t1_um
1,46,0,0,0,806.6,43.4
2,46,0,0,0,868,37.8
3,47,0,0,0,974.2,33.7
4,47,0,0,0,968.5,34.2
5,48,0,0,0,847.2,37.9
6,48,0,0,0,838.7,37.3
7,49,0,0,0,833,39
8,49,0,0,0,813.8,38.4
9,50,0,0,0,854.9,33.4
10,50,0,0,0,887.3,35.3
11,51,0,0,0,984.5,35.2
12,51,0,0,0,861.5,37.8
13,52,0,0,0,852.3,44.1
14,52,0,0,0,811.6,41.1
15,53,0,0,0,953.3,34.9
16,54,0,0,0,845.1,40.6
17,55,0,0,0,903.2,38.1
18,56,0,0,0,830.4,41.1
19,57,0,0,0,1030.1,38.1
20,57,0,0,0,889.8,38.5
21,58,0,0,0,792,40.5
22,59,0,0,0,798.1,43.3
23,60,0,0,0,812.7,43.6
24,60,0,0,0,963.2,37.7
25,92,0,0,0,1026,32.5
26,94,0,0,0,909.3,36.7
27,94,0,0,0,837,33.2
28,96,0,0,0,1009.7,37.1
29,A61,1,1,8,1504.7,62.2
30,A61,1,0,0,1540.9,63.2
31,A62,1,1,9,1833.5,60.6
32,A62,1,1,22,1453.7,55.4
33,A63,1,0,0,1500.1,62.2
34,A63,1,0,0,1227.7,54.2
35,A64,1,1,19,1706.1,49
36,A65,1,1,20,1525.6,59.3
37,A65,1,1,10,1603.4,61.8
38,A66,1,0,0,1487.2,56.2
39,A66,1,1,7,1650.7,58.7
40,A67,1,0,0,1445.8,55.1
41,A67,1,0,0,1588.9,60.5
42,A68,1,1,13,1420.3,53.9
43,A68,1,0,0,1620.5,62.4
44,A69,1,0,0,1470.1,57
45,A69,1,1,3,1565,59.8
46,A70,1,0,0,1502.4,56.7
47,A71,1,1,14,1635.2,61.2
48,A72,1,0,0,1430.6,54.5
49,A73,1,0,0,1595.8,60
50,A74,1,1,12,1455.7,55.8
51,A75,1,0,0,1578.3,58.9
52,zxyA80,2,0,0,1003.4,56.2
53,zxyA81,2,0,0,1160,47.7
54,zxyA82,2,1,15,986,41.8
55,zxyA83,2,0,0,1171.6,46.4
56,zxyA84,2,0,0,1032.4,47.4
57,zxyA85,2,0,0,1531.2,51.4
58,zxyA86,2,0,0,1252.8,45.9
59,zxyA88,2,0,0,1107.8,52.5
60,zxyA89,2,0,0,968.6,50
61,zxyA90,2,0,0,968.6,53
62,zxyA91,2,0,0,1148.4,49.7
63,zxyA92,2,0,0,1096.2,45.3
64,zxyA93,2,0,0,1403.6,41.5
65,zxyA94,2,0,0,1177.4,46.7
66,zxyA40,3,0,0,1339.8,51.3
67,zxyA40,3,0,0,900.9,47.8
68,zxyA41,3,0,0,997.6,53.6
69,zxyA41,3,0,0,1117.1,55.5
70,zxyA42,3,0,0,1583.4,50.7
71,zxyA42,3,0,0,1026.6,53.6
72,zxyA43,3,0,0,1096.2,54.8
73,zxyA43,3,0,0,1107.8,47.7
74,zxyA44,3,0,0,887.4,53.9
75,zxyA60,3,0,0,1078.8,49.6
76,zxyA60,3,0,0,1131,45.7
77,zxyA61,3,0,0,1426.8,52.1
78,zxyA61,3,0,0,1142.6,48
79,zxyA62,3,0,0,1026.6,56.4
80,zxyA62,3,0,0,870,48.5
81,zxyA63,3,0,0,1270.2,53
82,zxyA63,3,0,0,1194.8,54.4
83,zxyA64,3,0,0,1363,50.8
84,zxyA64,3,0,0,1247,50.2
85,zxyA70,3,0,0,1148.4,50.2
86,zxyA70,3,0,0,1073,46.5
87,zxyA71,3,0,0,1363,47.7
88,zxyA72,3,0,0,805.7,52.7
89,zxyA72,3,0,0,945.4,47.3
90,zxyA73,3,0,0,951.2,60.9
91,zxyA73,3,0,0,974.4,55
92,zxyA74,3,0,0,1038.2,59.4
93,zxy000,4,0,0,1648.7,46.4
94,zxy001,4,0,0,1327.3,46.3
95,zxy004,4,0,0,1288.7,43.9
96,zxy342,4,0,0,1453.3,49.7
97,zxy343,4,0,0,1422,44
98,zxy344,4,0,0,1154.5,45.8
99,zxy347,4,0,0,1171.9,52.1
100,zxy348,4,0,0,1105.9,48.7
101,zxy350,4,0,0,1164.6,42.9
102,zxy352,4,0,0,984,42.8
103,zxy354,4,0,0,1108.4,37.6
104,zxy357,4,0,0,1223.7,31
105,zxy359,4,0,0,1073.7,45.1
106,zxy000,5,0,0,808.1,44
107,zxy001,5,0,0,666,42.3
108,zxy003,5,0,0,869.4,34.1
109,zxy004,5,0,0,960.6,36.6
110,zxy342,5,0,0,1286.2,44.9
111,zxy343,5,0,0,908.2,38.6
112,zxy344,5,0,0,984,39.3
113,zxy345,5,0,0,841.6,39.9
114,zxy346,5,0,0,921.2,38.9
115,zxy347,5,0,0,830.2,43.4
116,zxy348,5,0,0,865.6,39.4
117,zxy350,5,0,0,1175.4,37
118,zxy352,5,0,0,994.1,36.2
119,zxy354,5,0,0,736.1,34.2
120,zxy359,5,0,0,932.2,39.3
