##Data analysis and visualization were performed with Cytoscape

node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Abcb1b	Hsp90aa1	10090.ENSMUSP00000009058	10090.ENSMUSP00000091921	0	0	0	0	0	0.067	0	0.63	0.64
Abcb1b	Stat3	10090.ENSMUSP00000009058	10090.ENSMUSP00000120152	0	0	0	0	0	0	0	0.647	0.647
Abi1	Dock1	10090.ENSMUSP00000118491	10090.ENSMUSP00000081531	0	0	0	0.558	0	0	0.5	0.254	0.611
Abi1	Hsp90aa1	10090.ENSMUSP00000118491	10090.ENSMUSP00000091921	0	0	0	0	0.048	0	0.5	0.074	0.521
Adgrf5	Epas1	10090.ENSMUSP00000109229	10090.ENSMUSP00000024954	0	0	0	0	0.582	0	0	0.098	0.607
Aff1	Man1a	10090.ENSMUSP00000031256	10090.ENSMUSP00000003843	0	0	0	0	0.05	0	0	0.485	0.49
Aff1	Hexim1	10090.ENSMUSP00000031256	10090.ENSMUSP00000057339	0	0	0	0	0.053	0.138	0	0.676	0.712
Aff1	Gas7	10090.ENSMUSP00000031256	10090.ENSMUSP00000104322	0	0	0	0	0.06	0.055	0	0.706	0.716
Ahnak	S100a6	10090.ENSMUSP00000090633	10090.ENSMUSP00000001051	0	0	0	0	0.475	0.097	0	0.22	0.598
Ahnak	Myh9	10090.ENSMUSP00000090633	10090.ENSMUSP00000016771	0	0	0	0	0.154	0.077	0	0.503	0.578
Ahnak	Prkca	10090.ENSMUSP00000090633	10090.ENSMUSP00000062392	0	0	0	0	0.049	0	0	0.468	0.472
Ahnak	Plec	10090.ENSMUSP00000090633	10090.ENSMUSP00000073124	0	0	0	0	0.172	0.071	0	0.316	0.429
Ahnak	Utrn	10090.ENSMUSP00000090633	10090.ENSMUSP00000076093	0	0	0	0	0.084	0.05	0	0.457	0.486
Ahnak	Emp1	10090.ENSMUSP00000090633	10090.ENSMUSP00000145069	0	0	0	0	0.396	0	0	0.046	0.4
Akap12	Akap13	10090.ENSMUSP00000035829	10090.ENSMUSP00000129784	0	0	0	0	0	0	0	0.574	0.574
Ankrd11	Ep400	10090.ENSMUSP00000095939	10090.ENSMUSP00000049038	0	0	0	0	0.396	0.099	0	0.193	0.523
Ankrd11	Ubr5	10090.ENSMUSP00000095939	10090.ENSMUSP00000154293	0	0	0	0	0.159	0	0	0.452	0.52
Ankrd11	Med13l	10090.ENSMUSP00000095939	10090.ENSMUSP00000144092	0	0	0	0	0.169	0	0	0.451	0.525
Ankrd28	Dock1	10090.ENSMUSP00000014640	10090.ENSMUSP00000081531	0	0	0	0	0.051	0.119	0	0.561	0.601
Ano2	Slc12a2	10090.ENSMUSP00000125303	10090.ENSMUSP00000111023	0	0	0	0	0	0	0	0.429	0.429
Arid4b	Ep400	10090.ENSMUSP00000106163	10090.ENSMUSP00000049038	0	0	0	0	0.064	0.379	0	0.102	0.432
Arid4b	Hivep2	10090.ENSMUSP00000106163	10090.ENSMUSP00000140150	0	0	0	0	0.064	0.083	0	0.377	0.418
Arih1	Flnb	10090.ENSMUSP00000126531	10090.ENSMUSP00000052020	0	0	0	0	0.051	0	0.5	0.094	0.532
Arih1	Cdkn1a	10090.ENSMUSP00000126531	10090.ENSMUSP00000156559	0	0	0	0	0.045	0.434	0	0	0.436
Arih1	Zswim6	10090.ENSMUSP00000126531	10090.ENSMUSP00000158926	0	0	0	0	0.091	0.082	0.36	0.174	0.5
Arntl	Samd4	10090.ENSMUSP00000147989	10090.ENSMUSP00000022386	0	0	0	0	0	0	0	0.406	0.406
Arntl	Noct	10090.ENSMUSP00000147989	10090.ENSMUSP00000023849	0	0	0	0	0	0	0	0.729	0.729
Arntl	Epas1	10090.ENSMUSP00000147989	10090.ENSMUSP00000024954	0	0	0	0.618	0	0.405	0	0.817	0.886
Arntl	Prkca	10090.ENSMUSP00000147989	10090.ENSMUSP00000062392	0	0	0	0	0.046	0	0	0.488	0.49
Arntl	Sqstm1	10090.ENSMUSP00000147989	10090.ENSMUSP00000099835	0	0	0	0	0.042	0	0	0.484	0.484
Atp2a2	Ern1	10090.ENSMUSP00000031423	10090.ENSMUSP00000001059	0	0	0	0	0	0.076	0	0.382	0.405
Atp2a2	Edn1	10090.ENSMUSP00000031423	10090.ENSMUSP00000021796	0	0	0	0	0	0	0	0.442	0.442
Atp2a2	Hspa5	10090.ENSMUSP00000031423	10090.ENSMUSP00000028222	0	0	0	0	0.133	0.051	0	0.559	0.606
Atp2a2	Ppp3ca	10090.ENSMUSP00000031423	10090.ENSMUSP00000053101	0	0	0	0	0.098	0.051	0	0.415	0.455
Bach2	Hspa5	10090.ENSMUSP00000103815	10090.ENSMUSP00000028222	0	0	0	0	0.052	0.066	0	0.405	0.428
Bmpr2	Edn1	10090.ENSMUSP00000084701	10090.ENSMUSP00000021796	0	0	0	0	0.057	0	0	0.564	0.572
Bmpr2	Pecam1	10090.ENSMUSP00000084701	10090.ENSMUSP00000102408	0	0	0	0	0.067	0.076	0	0.378	0.416
Bmpr2	Stat3	10090.ENSMUSP00000084701	10090.ENSMUSP00000120152	0	0	0	0	0.076	0.097	0	0.516	0.561
Cdkn1a	Fosb	10090.ENSMUSP00000156559	10090.ENSMUSP00000003640	0	0	0	0	0.068	0	0	0.506	0.52
Cdkn1a	Hmox1	10090.ENSMUSP00000156559	10090.ENSMUSP00000005548	0	0	0	0	0.115	0	0	0.408	0.453
Cdkn1a	Fosl1	10090.ENSMUSP00000156559	10090.ENSMUSP00000025850	0	0	0	0	0.106	0	0	0.589	0.618
Cdkn1a	Lmna	10090.ENSMUSP00000156559	10090.ENSMUSP00000029699	0	0	0	0	0.129	0	0	0.392	0.447
Cdkn1a	Errfi1	10090.ENSMUSP00000156559	10090.ENSMUSP00000030811	0	0	0	0	0.115	0	0	0.465	0.506
Cdkn1a	Serpine1	10090.ENSMUSP00000156559	10090.ENSMUSP00000039586	0	0	0	0	0.165	0	0	0.518	0.58
Cdkn1a	Jak2	10090.ENSMUSP00000156559	10090.ENSMUSP00000064394	0	0	0	0	0.063	0.077	0.4	0.41	0.653
Cdkn1a	Hsp90aa1	10090.ENSMUSP00000156559	10090.ENSMUSP00000091921	0	0	0	0	0.084	0.067	0.5	0.679	0.844
Cdkn1a	Sqstm1	10090.ENSMUSP00000156559	10090.ENSMUSP00000099835	0	0	0	0	0.101	0	0	0.399	0.437
Cdkn1a	Stat3	10090.ENSMUSP00000156559	10090.ENSMUSP00000120152	0	0	0	0	0.086	0.135	0	0.751	0.786
Clic4	Hivep2	10090.ENSMUSP00000041453	10090.ENSMUSP00000140150	0	0	0	0	0	0	0	0.574	0.574
Cmip	Hivep2	10090.ENSMUSP00000130264	10090.ENSMUSP00000140150	0	0	0	0	0.045	0	0	0.497	0.499
Col18a1	Timp3	10090.ENSMUSP00000101049	10090.ENSMUSP00000020234	0	0	0	0	0.057	0	0	0.432	0.441
Col18a1	Itgav	10090.ENSMUSP00000101049	10090.ENSMUSP00000028499	0	0	0	0	0	0.097	0.5	0.312	0.662
Col18a1	Col4a1	10090.ENSMUSP00000101049	10090.ENSMUSP00000033898	0	0	0	0.58	0.203	0.093	0.4	0.303	0.657
Col18a1	Col4a2	10090.ENSMUSP00000101049	10090.ENSMUSP00000033899	0	0	0.117	0.575	0.176	0.064	0.4	0.327	0.675
Col18a1	Serpine1	10090.ENSMUSP00000101049	10090.ENSMUSP00000039586	0	0	0	0	0.057	0	0	0.437	0.446
Col18a1	Itga6	10090.ENSMUSP00000101049	10090.ENSMUSP00000107729	0	0	0	0	0	0.088	0	0.436	0.463
Col18a1	Pecam1	10090.ENSMUSP00000101049	10090.ENSMUSP00000102408	0	0	0	0	0	0	0	0.577	0.577
Col4a1	Timp3	10090.ENSMUSP00000033898	10090.ENSMUSP00000020234	0	0	0	0	0.243	0	0	0.402	0.528
Col4a1	Itgav	10090.ENSMUSP00000033898	10090.ENSMUSP00000028499	0	0	0	0	0.058	0.069	0.65	0.507	0.828
Col4a1	Serpine1	10090.ENSMUSP00000033898	10090.ENSMUSP00000039586	0	0	0	0	0.153	0	0	0.359	0.434
Col4a1	Pecam1	10090.ENSMUSP00000033898	10090.ENSMUSP00000102408	0	0	0	0	0.142	0.086	0	0.37	0.463
Col4a1	Itga6	10090.ENSMUSP00000033898	10090.ENSMUSP00000107729	0	0	0	0	0.076	0.046	0.65	0.367	0.778
Col4a1	Col4a2	10090.ENSMUSP00000033898	10090.ENSMUSP00000033899	0	0	0.091	0.878	0.999	0.815	0.9	0.857	0.999
Col4a2	Timp3	10090.ENSMUSP00000033899	10090.ENSMUSP00000020234	0	0	0	0	0.223	0	0	0.405	0.518
Col4a2	Itgav	10090.ENSMUSP00000033899	10090.ENSMUSP00000028499	0	0	0	0	0.061	0.069	0.65	0.544	0.841
Col4a2	Pecam1	10090.ENSMUSP00000033899	10090.ENSMUSP00000102408	0	0	0	0	0.131	0.086	0	0.332	0.423
Col4a2	Itga6	10090.ENSMUSP00000033899	10090.ENSMUSP00000107729	0	0	0	0	0.061	0.046	0.65	0.323	0.759
Dnah12	Dnah17	10090.ENSMUSP00000022433	10090.ENSMUSP00000081864	0	0	0	0.802	0.091	0	0.72	0.103	0.751
Dock1	Plaur	10090.ENSMUSP00000081531	10090.ENSMUSP00000002284	0	0	0	0	0.081	0	0	0.435	0.458
Dock1	Vcl	10090.ENSMUSP00000081531	10090.ENSMUSP00000022369	0	0	0	0	0.083	0	0	0.723	0.735
Dock1	Dock4	10090.ENSMUSP00000081531	10090.ENSMUSP00000047387	0	0	0.075	0.865	0.064	0.136	0.4	0.146	0.547
Dock1	Kalrn	10090.ENSMUSP00000081531	10090.ENSMUSP00000110611	0	0	0	0	0	0	0	0.463	0.463
Dock1	Macf1	10090.ENSMUSP00000081531	10090.ENSMUSP00000095507	0	0	0	0	0.049	0	0	0.501	0.505
Dock1	Hsp90aa1	10090.ENSMUSP00000081531	10090.ENSMUSP00000091921	0	0	0	0	0.067	0	0.5	0.043	0.514
Dock4	Ifrd1	10090.ENSMUSP00000047387	10090.ENSMUSP00000001672	0	0	0	0	0	0.415	0	0.062	0.427
Dst	Sptbn1	10090.ENSMUSP00000138308	10090.ENSMUSP00000006629	0	0	0	0.57	0.119	0.066	0.4	0.076	0.483
Dst	Plec	10090.ENSMUSP00000138308	10090.ENSMUSP00000073124	0	0	0	0.671	0.089	0	0.5	0.982	0.991
Dst	Itga6	10090.ENSMUSP00000138308	10090.ENSMUSP00000107729	0	0	0	0	0.053	0	0.5	0.378	0.679
Dst	Tpm3	10090.ENSMUSP00000138308	10090.ENSMUSP00000113978	0	0	0	0	0.051	0	0.4	0.047	0.409
Dst	Sptan1	10090.ENSMUSP00000138308	10090.ENSMUSP00000121116	0	0	0	0.548	0.115	0.183	0.4	0.134	0.574
Edn1	Hmox1	10090.ENSMUSP00000021796	10090.ENSMUSP00000005548	0	0	0	0	0	0	0	0.753	0.753
Edn1	Hbegf	10090.ENSMUSP00000021796	10090.ENSMUSP00000025363	0	0	0	0	0.132	0	0	0.406	0.462
Edn1	Kalrn	10090.ENSMUSP00000021796	10090.ENSMUSP00000110611	0	0	0	0	0.049	0	0.5	0	0.504
Edn1	Pde4b	10090.ENSMUSP00000021796	10090.ENSMUSP00000102521	0	0	0	0	0.109	0	0	0.487	0.523
Edn1	Stat3	10090.ENSMUSP00000021796	10090.ENSMUSP00000120152	0	0	0	0	0.079	0	0	0.522	0.541
Edn1	Pecam1	10090.ENSMUSP00000021796	10090.ENSMUSP00000102408	0	0	0	0	0.047	0	0	0.576	0.578
Edn1	Epas1	10090.ENSMUSP00000021796	10090.ENSMUSP00000024954	0	0	0	0	0	0	0	0.654	0.654
Edn1	Selp	10090.ENSMUSP00000021796	10090.ENSMUSP00000123924	0	0	0	0	0.058	0	0	0.652	0.658
Edn1	Serpine1	10090.ENSMUSP00000021796	10090.ENSMUSP00000039586	0	0	0	0	0.086	0	0	0.69	0.704
Elf2	Stat3	10090.ENSMUSP00000141197	10090.ENSMUSP00000120152	0	0	0.422	0	0.065	0	0	0.078	0.458
Emp1	S100a6	10090.ENSMUSP00000145069	10090.ENSMUSP00000001051	0	0	0	0	0.399	0	0	0.154	0.469
Emp1	Pecam1	10090.ENSMUSP00000145069	10090.ENSMUSP00000102408	0	0	0	0	0.047	0	0	0.443	0.446
Ep400	Ubr5	10090.ENSMUSP00000049038	10090.ENSMUSP00000154293	0	0	0	0	0.172	0	0	0.314	0.408
Epas1	Hmox1	10090.ENSMUSP00000024954	10090.ENSMUSP00000005548	0	0	0	0	0.042	0	0	0.469	0.47
Epas1	Jak2	10090.ENSMUSP00000024954	10090.ENSMUSP00000064394	0	0	0	0	0.053	0.09	0	0.375	0.415
Epas1	Serpine1	10090.ENSMUSP00000024954	10090.ENSMUSP00000039586	0	0	0	0	0.054	0	0	0.488	0.495
Epas1	Pecam1	10090.ENSMUSP00000024954	10090.ENSMUSP00000102408	0	0	0	0	0.148	0	0	0.49	0.546
Epas1	Stat3	10090.ENSMUSP00000024954	10090.ENSMUSP00000120152	0	0	0	0	0.057	0.101	0	0.601	0.632
Epas1	Hsp90aa1	10090.ENSMUSP00000024954	10090.ENSMUSP00000091921	0	0	0	0	0.091	0.259	0	0.787	0.844
Ern1	Stat3	10090.ENSMUSP00000001059	10090.ENSMUSP00000120152	0	0	0	0	0.059	0.097	0	0.404	0.45
Ern1	Sqstm1	10090.ENSMUSP00000001059	10090.ENSMUSP00000099835	0	0	0	0	0.051	0.104	0	0.473	0.512
Ern1	Hsp90aa1	10090.ENSMUSP00000001059	10090.ENSMUSP00000091921	0	0	0	0	0	0.139	0	0.669	0.703
Ern1	Hspa5	10090.ENSMUSP00000001059	10090.ENSMUSP00000028222	0	0	0	0	0.065	0.759	0.9	0.998	0.999
Errfi1	Fosb	10090.ENSMUSP00000030811	10090.ENSMUSP00000003640	0	0	0	0	0.087	0	0	0.43	0.457
